Hydrogen,Oxigen,Methane,CO,CO2,Ethylene,Ethane,Acethylene,H2O,Date
30,413,39,140,2690,17,48,0,7,1/1/2023
7,376,13,205,1780,4,15,0,4,1/2/2023
7,12300,0,302,3640,3,0,1,36,1/3/2023
11,1780,2,29,867,0,54,0,27,1/4/2023
0,9444,3,358,5507,6,0,0,75,1/5/2023
51,339,2,53,344,0,217,0,33,1/6/2023
71,342,8,133,2650,7,257,0,37,1/7/2023
488,11861,13,85,1957,29,23,0,10,1/8/2023
5,6410,3,465,2850,0,0,0,79,1/9/2023
9,738,10,294,1960,4,17,0,7,1/10/2023
5,378,16,231,2170,5,22,0,4,1/11/2023
18,154,5,127,711,3,91,0,7,1/12/2023
0,20600,2,152,823,8,2,0,33,1/13/2023
0,19900,0,114,782,0,0,0,6,1/14/2023
16,2020,6,138,663,0,138,0,12,1/15/2023
0,21200,5,123,767,0,0,0,4,1/16/2023
2,15900,4,359,2250,0,0,0,3,1/17/2023
0,25900,0,22,399,0,0,0,4,1/18/2023
0,27300,0,56,202,0,0,0,3,1/19/2023
6,3760,17,277,2200,7,31,0,3,1/20/2023
2845,5860,7406,32,1344,16684,5467,7,0,1/21/2023
15,227,3,60,853,3,84,0,28,1/22/2023
4,21800,0,75,655,3,0,11,5,1/23/2023
38,461,4,126,3580,3,136,0,17,1/24/2023
7,1990,10,154,2210,4,18,0,1,1/25/2023
78,294,3,132,892,4,121,0,11,1/26/2023
0,19500,0,73,196,0,0,0,4,1/27/2023
7,15700,2,373,3470,28,0,0,8,1/28/2023
14,2750,12,54,5190,0,0,0,3,1/29/2023
0,14908,0,52,620,0,0,2,7,1/30/2023
114,2359,2,144,707,0,0,0,28,1/31/2023
47,400,4,74,621,0,57,0,20,2/1/2023
0,21700,0,198,2250,6,0,0,3,2/2/2023
0,23500,0,29,347,0,0,0,10,2/3/2023
5810,11900,471,354,1470,798,44,3990,16,2/4/2023
6200,291,218,492,10600,103,39,0,10,2/5/2023
3,309,2,39,791,3,99,0,183,2/6/2023
12,2150,2,170,1440,0,0,0,6,2/7/2023
10,8010,2,441,891,3,0,0,17,2/8/2023
5,12500,3,534,3010,3,0,0,3,2/9/2023
24,2350,4,332,2640,0,0,0,13,2/10/2023
38,191,2,49,350,0,150,0,22,2/11/2023
3,14900,0,163,458,0,0,0,3,2/12/2023
11,478,11,196,1900,3,5,0,2,2/13/2023
7,10300,6,725,2120,0,0,0,16,2/14/2023
1230,239,61,576,11300,28,24,0,12,2/15/2023
20,17400,4,395,999,16,4,0,31,2/16/2023
8,1060,14,235,1850,6,22,0,3,2/17/2023
0,5640,17,305,2200,6,41,0,6,2/18/2023
20,2170,6,307,1960,0,0,0,4,2/19/2023
0,20000,3,117,699,0,0,0,2,2/20/2023
26,321,3,68,598,0,62,0,19,2/21/2023
14,2690,3,155,735,0,0,0,2,2/22/2023
0,21900,0,46,520,3,0,0,16,2/23/2023
58,177,4,70,636,4,108,0,16,2/24/2023
7,647,8,152,528,0,0,0,3,2/25/2023
5,17400,4,296,2750,7,0,0,10,2/26/2023
0,24300,0,54,738,0,0,0,4,2/27/2023
3,1900,37,234,2800,10,102,0,6,2/28/2023
3,2020,6,1070,2950,0,0,0,3,3/1/2023
